ds,yhat,yhat_lower,yhat_upper
2023-01-31,-280204.08358995,-629533.9383305355,89270.00985093832
2023-02-28,-219635.6378800428,-608848.6474089589,142060.02005788268
2023-03-31,-152577.71589526345,-502210.89239542285,233723.57086072036
2023-04-30,-87682.95260918309,-449014.04428483377,278467.55817163945
2023-05-31,-20625.030546771053,-376587.5679062289,348303.0923255742
2023-06-30,44269.732788759124,-314260.204673703,396660.408940296
2023-07-31,111327.65494134334,-284146.7004332919,507168.7853262192
2023-08-31,178385.577128447,-184968.31200361106,532861.1584613337
2023-09-30,243280.34049806098,-148426.17861553287,612442.2048304537
2023-10-31,310338.2626772815,-70651.14983808593,671807.1841032996
2023-11-30,375233.0260345486,5967.995871486211,746448.0383944624
2023-12-31,442290.9481325285,95616.46204559879,790684.3565700724
2024-01-31,509348.87182170595,129814.01771141657,885226.079572383
2024-02-29,572080.4779223516,219092.53211888322,938992.4148135822
2024-03-31,639138.4862495443,288727.11111103924,1040842.746707793
2024-04-30,704034.539212746,349940.0289584997,1069260.896612329
2024-05-31,771093.8253311726,413638.5238584584,1148361.9509124435
2024-06-30,835990.7356117738,446376.8601000472,1184050.244454426
2024-07-31,903050.876306323,568946.3093660651,1246478.23530547
2024-08-31,970111.0169743459,605286.8104039783,1354241.1702404616
2024-09-30,1035007.927298239,700814.8890878741,1429983.646902871
2024-10-31,1102068.067966262,719836.6781357374,1461051.885681544
2024-11-30,1166964.9782901558,805051.3826734602,1552625.3870711937
2024-12-31,1234025.1189581787,873989.0827014757,1625851.262737018
2025-01-31,1301085.2596262016,922485.162117533,1677351.199709349
2025-02-28,1361655.7092618353,955601.918577729,1773526.2736105002
2025-03-31,1428715.8499298585,1077496.9659051187,1777847.3894905983
2025-04-30,1493612.7602537517,1135573.497084753,1885878.8279307655
2025-05-31,1560672.9009217746,1212711.1570151376,1914282.878853873
2025-06-30,1625569.811245668,1300400.4220811038,1989523.4172399603
